original_composition,status,material_id,e_above_hull,saved_filename
LiSr1.65Zr1.3Ta1.7O9,Not Found,,,
LiSr2Ti2TaO9,Not Found,,,
LiSr2Ti2NbO9,Not Found,,,
LiSrTiNbO6,Not Found,,,
LiBa2Ti2NbO9,Success,mp-766208,0.010862537878807001,LiBa2Ti2NbO9_mp-766208.cif
Li0.067La0.64TiO2.99,Success,mp-9406,0.020434331617655,Li0.067La0.64TiO2.99_mp-9406.cif
Li0.25La0.66Ti0.75Al0.25O3,Not Found,,,
Li0.20La0.66Ti0.80Al0.20O3,Not Found,,,
Li0.30La0.66Ti0.70Al0.30O3,Not Found,,,
Li0.15La0.66Ti0.85Al0.15O3,Not Found,,,
Li0.10La0.66Ti0.90Al0.10O3,Not Found,,,
Li0.06La0.66Ti0.93Al0.06O3,Not Found,,,
Li0.27La0.59TiO3,Success,mp-9406,0.020434331617655,Li0.27La0.59TiO3_mp-9406.cif
Li3O(Cl0.5Br0.5),Not Found,,,
Li3OCl,Success,mp-985585,0.029108939500000004,Li3OCl_mp-985585.cif
Li10SnP2S12,Success,mp-721236,0.023375087500000002,Li10SnP2S12_mp-721236.cif
Li0.36La0.55TiO3,Success,mp-9406,0.020434331617655,Li0.36La0.55TiO3_mp-9406.cif
Li1.5Hf1.5Al0.5P3O12,Not Found,,,
"""(Li2S)70 (P2S5)30""",Not Found,,,
Li11AlP2S12,Success,mp-1188124,0.0,Li11AlP2S12_mp-1188124.cif
Li5NI2,Success,mp-675941,0.0,Li5NI2_mp-675941.cif
Li6NBr3,Success,mp-568365,0.014326325875,Li6NBr3_mp-568365.cif
Li4SiO4,Success,mp-11737,0.0,Li4SiO4_mp-11737.cif
Li2Ge7O15,Success,mp-5832,0.050123656249999,Li2Ge7O15_mp-5832.cif
Li3.5Ge0.5V0.5O4,Success,mp-559680,0.0101981255625,Li3.5Ge0.5V0.5O4_mp-559680.cif
LiI,Success,mp-570935,0.0,LiI_mp-570935.cif
Li3P,Success,mp-736,0.0,Li3P_mp-736.cif
Li3Sc2P3O12,Success,mp-6565,0.0,Li3Sc2P3O12_mp-6565.cif
Li5La3Bi2O12,Not Found,,,
LiLa(TiO3)2,Success,mp-767402,0.062276996999997,LiLa(TiO3)2_mp-767402.cif
Li4BN3H10,Success,mp-1201205,0.059164805694446,Li4BN3H10_mp-1201205.cif
Li2NH,Success,mp-1189725,0.0,Li2NH_mp-1189725.cif
Li2Ca(NH)2,Not Found,,,
Li3N,Success,mp-2251,0.0,Li3N_mp-2251.cif
Li13.6Si2.8S1.2O16,Not Found,,,
LiAlH4,Success,mp-27653,0.013086210138888001,LiAlH4_mp-27653.cif
Li4B7O12Cl,Success,mp-1222565,0.005693860312479,Li4B7O12Cl_mp-1222565.cif
Li10.35Si1.35P1.65S12,Success,mp-720509,0.006719743,Li10.35Si1.35P1.65S12_mp-720509.cif
Li9.81Sn0.81P2.19S12,Success,mp-721236,0.023375087500000002,Li9.81Sn0.81P2.19S12_mp-721236.cif
Li5La3Nb2O12,Success,mp-761986,0.053299920227266005,Li5La3Nb2O12_mp-761986.cif
Li14ZnGe4O16,Success,mp-8184,0.0,Li14ZnGe4O16_mp-8184.cif
Li2.88PO3.73N0.14,Success,mp-1020011,0.0,Li2.88PO3.73N0.14_mp-1020011.cif
Li6.35P0.65Si0.35S5Br,Not Found,,,
Li6.50P0.50Si0.50S5Br,Not Found,,,
Li6.20P0.80Si0.20S5Br,Not Found,,,
Li6.30P0.70Si0.30S5Br,Not Found,,,
Li6.25P0.75Si0.25S5Br,Not Found,,,
Li6.12P0.90Si0.12S5Br,Not Found,,,
Li6.22P0.78Si0.22S5Br,Not Found,,,
Li6.17P0.83Si0.17S5Br,Not Found,,,
Li6.13P0.87Si0.13S5Br,Not Found,,,
Li6.08P0.92Si0.08S5Br,Not Found,,,
Li6.02P0.98Si0.02S5 Br,Not Found,,,
Li6.10P0.90Si0.10S5Br,Not Found,,,
Li6.05P0.95Si0.05S5Br,Not Found,,,
Li3.6Si0.6P0.4S4,Success,mp-720509,0.006719743,Li3.6Si0.6P0.4S4_mp-720509.cif
Li4SiS4,Success,mp-1210789,0.0,Li4SiS4_mp-1210789.cif
Li2SiS3,Success,mp-1210789,0.0,Li2SiS3_mp-1210789.cif
Li6.75La3Zr1.75Nb0.25O12 ,Not Found,,,
Li7La3Zr1.89Al0.15O12 ,Not Found,,,
Li6.75La3Zr1.875Te0.125O12 ,Not Found,,,
Li10Ge0.95Si0.05P2S12,Not Found,,,
Li5.5La3Nb1.75In0.25O12 ,Not Found,,,
Li5.5La2.75K0.25Nb2O12 ,Not Found,,,
Li7La3Zr2O12 ,Success,mp-942733,0.006846009531249001,Li7La3Zr2O12_mp-942733.cif
Li7La3Hf2O12,Success,mp-1198622,0.009968351718751,Li7La3Hf2O12_mp-1198622.cif
Li6.25La3Zr2Ga0.25O12,Not Found,,,
Li2.2Zn0.1Zr0.9S3,Not Found,,,
Li4GeS4,Success,mp-1222529,0.0,Li4GeS4_mp-1222529.cif
Li4PS4I,Success,mp-950995,0.0021249259615370004,Li4PS4I_mp-950995.cif
Li6.6La2.75Y0.25Zr1.6Ta0.4O12,Not Found,,,
Li6.6La2.875Y0.125Zr1.6Ta0.4O12 ,Not Found,,,
Li6.6La2.5Y0.5Zr1.6Ta0.4O12 ,Not Found,,,
